geojson_admin3_code,geojson_admin3_name,geojson_admin2_name,geojson_admin1_name,geojson_normalized_name,citypopulation_parent_code,citypopulation_parent_name,suggested_parent_code,suggested_parent_name,suggested_parent_score,allocation_weight,notes
ET040894,Bekoji town,Arsi,Oromia,bekoji,,,,,,,
ET040915,Hawi Gudina,West Hararge,Oromia,hawigudina,,,,,,,
ET040991,Gumbi Bordede,West Hararge,Oromia,gumbibordede,,,,,,,
ET040998,Burqua Dhintu,West Hararge,Oromia,burquadhintu,,,,,,,
ET041019,Haromaya town,East Hararge,Oromia,haromaya,,,,,,,
ET041089,Goro Muti,East Hararge,Oromia,goromuti,,,,,,,
ET041098,Kumbi,East Hararge,Oromia,kumbi,,,,,,,
ET041099,Aweday town,East Hararge,Oromia,aweday,,,,,,,
ET041219,Dilo,Borena,Oromia,dilo,,,,,,,
ET041220,Dhas,Borena,Oromia,dhas,,,,,,,
ET041223,Gomole,Borena,Oromia,gomole,,,,,,,
ET041291,Dubluk,Borena,Oromia,dubluk,,,,,,,
ET041295,Elwaya,Borena,Oromia,elwaya,,,,,,,
ET041298,Wachile,Borena,Oromia,wachile,,,,,,,
ET041409,Arda Jila,Guji,Oromia,ardajila,,,,,,,
ET041411,Ana Sora,Guji,Oromia,anasora,,,,,,,
ET041412,Saba Boru,Guji,Oromia,sababoru,,,,,,,
ET041413,Gora Dola,Guji,Oromia,goradola,,,,,,,
ET041482,Aga Wayu,Guji,Oromia,agawayu,,,,,,,
ET041490,Haro Walabu,Guji,Oromia,harowalabu,,,,,,,
ET041497,Gumi Idalo,Guji,Oromia,gumiidalo,,,,,,,
ET041499,Shakiso town,Guji,Oromia,shakiso,,,,,,,
ET041518,Melka Soda,West Guji,Oromia,melkasoda,,,,,,,
ET041594,Suro Berguda,West Guji,Oromia,suroberguda,,,,,,,
ET041596,Birbirsa Kojowa,West Guji,Oromia,birbirsakojowa,,,,,,,
ET041783,Heban Arsi,West Arsi,Oromia,hebanarsi,,,,,,,
ET041797,Wondo,West Arsi,Oromia,wondo,,,,,,,
ET041798,Bishan Guracha,West Arsi,Oromia,bishanguracha,,,,,,,
ET041812,Sedi Chenka,Kelem Wellega,Oromia,sedichenka,,,,,,,
ET041911,Choman Guduru,Horo Gudru Wellega,Oromia,chomanguduru,,,,,,,
ET041912,Horo Buluk,Horo Gudru Wellega,Oromia,horobuluk,,,,,,,
ET042004,Lege Tafo-Lege Dadi town,Finfine Special,Oromia,legetafolegedadi,,,,,,,
ET042008,Dukem,Finfine Special,Oromia,dukem,,,,,,,
ET042101,Gololcha Bale,East Bale,Oromia,gololchabale,,,,,,,
ET042106,Dawe Ketchen,East Bale,Oromia,daweketchen,,,,,,,
ET050107,Miesso,Siti,Somali,miesso,,,,,,,
ET050198,Gota-Biki,Siti,Somali,gotabiki,,,,,,,
ET050199,Gablalu,Siti,Somali,gablalu,,,,,,,
ET050204,Shabeeley,Fafan,Somali,shabeeley,,,,,,,
ET050283,Tuliguled,Fafan,Somali,tuliguled,,,,,,,
ET050290,Goljano,Fafan,Somali,goljano,,,,,,,
ET050295,Wajale town,Fafan,Somali,wajale,,,,,,,
ET050296,Kebribayah town,Fafan,Somali,kebribayah,,,,,,,
ET050297,Koran /Mulla,Fafan,Somali,koranmulla,,,,,,,
ET050298,Haroreys,Fafan,Somali,haroreys,,,,,,,
ET050299,Harawo,Fafan,Somali,harawo,,,,,,,
ET050306,Bilcil-Bur,Jarar,Somali,bilcilbur,,,,,,,
ET050307,Degahabur town,Jarar,Somali,degahabur,,,,,,,
ET050382,Yocale,Jarar,Somali,yocale,,,,,,,
ET050392,Daror,Jarar,Somali,daror,,,,,,,
ET050394,Burqod,Jarar,Somali,burqod,,,,,,,
ET050395,Ararso,Jarar,Somali,ararso,,,,,,,
ET050399,Dig,Jarar,Somali,dig,,,,,,,
ET050403,Salahad,Erer,Somali,salahad,,,,,,,
ET050497,Qubi,Erer,Somali,qubi,,,,,,,
ET050498,Yahob,Erer,Somali,yahob,,,,,,,
ET050499,Wangey,Erer,Somali,wangey,,,,,,,
ET050586,Marsin,Korahe,Somali,marsin,,,,,,,
ET050595,Goglo,Korahe,Somali,goglo,,,,,,,
ET050596,Lasdhankayre,Korahe,Somali,lasdhankayre,,,,,,,
ET050597,Higloley,Korahe,Somali,higloley,,,,,,,
ET050598,El-Ogaden,Korahe,Somali,elogaden,,,,,,,
ET050599,Bodaley,Korahe,Somali,bodaley,,,,,,,
ET050608,Berocano,Shabelle,Somali,berocano,,,,,,,
ET050696,Godey town,Shabelle,Somali,godey,,,,,,,
ET050698,Elale,Shabelle,Somali,elale,,,,,,,
ET050699,Aba-Korow,Shabelle,Somali,abakorow,,,,,,,
ET050788,Daratole,Doolo,Somali,daratole,,,,,,,
ET050798,Lehel-Yucub,Doolo,Somali,lehelyucub,,,,,,,
ET050799,Galhamur,Doolo,Somali,galhamur,,,,,,,
ET050898,Kohle /Qoxle,Afder,Somali,kohleqoxle,,,,,,,
ET050899,God-God,Afder,Somali,godgod,,,,,,,
ET050991,Deka Suftu,Liban,Somali,dekasuftu,,,,,,,
ET050999,Bokolmayo,Liban,Somali,bokolmayo,,,,,,,
ET051001,Ayun,Nogob,Somali,ayun,,,,,,,
ET051002,Elwayne,Nogob,Somali,elwayne,,,,,,,
ET051095,Horshagah,Nogob,Somali,horshagah,,,,,,,
ET051096,Hararey,Nogob,Somali,hararey,,,,,,,
ET051187,Mubarek,Daawa,Somali,mubarek,,,,,,,
ET051198,Qada Duma,Daawa,Somali,qadaduma,,,,,,,
ET060200,Gilgel Beles town,Metekel,Benishangul Gumz,gilgelbeles,,,,,,,
ET060308,Undulu,Assosa,Benishangul Gumz,undulu,,,,,,,
ET060309,Assosa town Administration,Assosa,Benishangul Gumz,assosa,,,,,,,
ET060400,Kamashi town,Kamashi,Benishangul Gumz,kamashi,,,,,,,
ET070116,Emdebir town,Guraghe,SNNP,emdebir,,,,,,,
ET070117,Bui town,Guraghe,SNNP,bui,,,,,,,
ET070118,Misrak Meskan,Guraghe,SNNP,misrakmeskan,,,,,,,
