pcode,region,zone,woreda_name,report
ET070406,Central Ethiopia,East Guraghe,Debub Sodo,1
ET070404,Central Ethiopia,East Guraghe,Meskan,1
ET070405,Central Ethiopia,East Guraghe,Misrak Meskan,1
ET070403,Central Ethiopia,East Guraghe,Sodo,1
ET070102,Central Ethiopia,Guraghe,Abeshege,1
ET070110,Central Ethiopia,Guraghe,Cheha,1
ET070116,Central Ethiopia,Guraghe,Emdebir town,1
ET070108,Central Ethiopia,Guraghe,Endiguagn,1
ET070111,Central Ethiopia,Guraghe,Enemor Ener,1
ET070120,Central Ethiopia,Guraghe,Enor Ener,1
ET070103,Central Ethiopia,Guraghe,Ezha,1
ET070104,Central Ethiopia,Guraghe,Gedebano Gutazer Welene,1
ET070113,Central Ethiopia,Guraghe,Geta,1
ET070109,Central Ethiopia,Guraghe,Gumer,1
ET070112,Central Ethiopia,Guraghe,Muhur Na Aklil,1
ET070114,Central Ethiopia,Guraghe,Welkite town,1
ET070215,Central Ethiopia,Hadiya,Ameka,1
ET070208,Central Ethiopia,Hadiya,Analemmo,1
ET070207,Central Ethiopia,Hadiya,Duna,1
ET070210,Central Ethiopia,Hadiya,Gibe,1
ET070213,Central Ethiopia,Hadiya,Gimbichu town,1
ET070202,Central Ethiopia,Hadiya,Gombora,1
ET070211,Central Ethiopia,Hadiya,Hosaena town,1
ET070214,Central Ethiopia,Hadiya,Jajura town,1
ET070203,Central Ethiopia,Hadiya,Lemmo,1
ET070209,Central Ethiopia,Hadiya,Mirab Badowach,1
ET070217,Central Ethiopia,Hadiya,Mirab Soro,1
ET070201,Central Ethiopia,Hadiya,Misha,1
ET070205,Central Ethiopia,Hadiya,Misrak Badawacho,1
ET070204,Central Ethiopia,Hadiya,Shashogo,1
ET070212,Central Ethiopia,Hadiya,Shone town,1
ET070216,Central Ethiopia,Hadiya,Siraro Badawacho,1
ET070206,Central Ethiopia,Hadiya,Soro,1
ET071403,Central Ethiopia,Halaba,Atote Ulo,1
ET071401,Central Ethiopia,Halaba,Kulito town,1
ET071402,Central Ethiopia,Halaba,Wera,1
ET071404,Central Ethiopia,Halaba,Wera Djo,1
ET070001,Central Ethiopia,Kebena Special,Kebena Special,1
ET070309,Central Ethiopia,Kembata,Adilo,1
ET070302,Central Ethiopia,Kembata,Angacha,1
ET070307,Central Ethiopia,Kembata,Damboya,1
ET070306,Central Ethiopia,Kembata,Doyogena,1
ET070308,Central Ethiopia,Kembata,Durame town,1
ET070305,Central Ethiopia,Kembata,Hadero Tunto,1
ET070312,Central Ethiopia,Kembata,Hadero town,1
ET070304,Central Ethiopia,Kembata,Kacha Bira,1
ET070303,Central Ethiopia,Kembata,Kediada Gambela,1
ET070310,Central Ethiopia,Kembata,Shinshincho town,1
ET072501,Central Ethiopia,Mareko Special,Mareko Special,1
ET072001,Central Ethiopia,Siltie,Alicho Woriro,1
ET072005,Central Ethiopia,Siltie,Dalocha,1
ET072011,Central Ethiopia,Siltie,Kibet town,1
ET072003,Central Ethiopia,Siltie,Lanfero,1
ET072004,Central Ethiopia,Siltie,Mierab Azenet Berbere,1
ET072007,Central Ethiopia,Siltie,Misrak Azenet Berbere,1
ET072013,Central Ethiopia,Siltie,Misrak Siltie,1
ET072012,Central Ethiopia,Siltie,Mito,1
ET072006,Central Ethiopia,Siltie,Sankura,1
ET072002,Central Ethiopia,Siltie,Siltie,1
ET072009,Central Ethiopia,Siltie,Tora town,1
ET072010,Central Ethiopia,Siltie,Worabe town,1
ET072008,Central Ethiopia,Siltie,Wulbareg,1
ET072601,Central Ethiopia,Tembaro Special,Tembaro Special,1
ET072403,Central Ethiopia,Yem,Deri Saja zuria,1
ET072402,Central Ethiopia,Yem,Fofa,1
ET072401,Central Ethiopia,Yem,Saja town,1
ET072404,Central Ethiopia,Yem,Toba,1
ET990108,Contested,Area 1,Awra,1
ET990107,Contested,Area 1,Dansha town,1
ET990103,Contested,Area 1,Kafta Humera,1
ET990102,Contested,Area 1,Korarit,1
ET990109,Contested,Area 1,May Gaba,1
ET990106,Contested,Area 1,May Kadra,1
ET990101,Contested,Area 1,Setit Humera town,1
ET990105,Contested,Area 1,Tsegede,1
ET990104,Contested,Area 1,Welkait,1
ET990202,Contested,Area 2,Laelay Tselemti,1
ET990203,Contested,Area 2,May Tsebri town,1
ET990201,Contested,Area 2,Tselemti /West Telemt,1
