pcode,region,zone,woreda_name,report
ET010221,Tigray,Central,Keyhe tekli,1
ET010208,Tigray,Central,Kola Tembien,1
ET010205,Tigray,Central,Laelay Maychew,1
ET010209,Tigray,Central,Naeder,1
ET010214,Tigray,Central,Rama Adi Arbaete,1
ET010206,Tigray,Central,Tahtay Maychew,1
ET010222,Tigray,Central,Tanqua Melashe,1
ET010308,Tigray,Eastern,Adigrat town,1
ET010316,Tigray,Eastern,Agulae,1
ET010307,Tigray,Eastern,Atsbi,1
ET010315,Tigray,Eastern,Atsbi town,1
ET010310,Tigray,Eastern,Bizet,1
ET010311,Tigray,Eastern,Edaga Hamus town,1
ET010302,Tigray,Eastern,Erob,1
ET010313,Tigray,Eastern,Freweyni town,1
ET010304,Tigray,Eastern,Ganta Afeshum,1
ET010317,Tigray,Eastern,Geraleta,1
ET010301,Tigray,Eastern,Gulo Mekeda,1
ET010305,Tigray,Eastern,Hawzen,1
ET010312,Tigray,Eastern,Hawzen town,1
ET010306,Tigray,Eastern,Kilte Awulaelo,1
ET010303,Tigray,Eastern,Sebuha Saesie,1
ET010314,Tigray,Eastern,Tsaeda Emba,1
ET010309,Tigray,Eastern,Wukro town,1
ET010318,Tigray,Eastern,Zala Anbesa town,1
ET010705,Tigray,Mekelle,Adihaki Sub City,1
ET010703,Tigray,Mekelle,Ayder Sub City,1
ET010702,Tigray,Mekelle,Hadnet Sub City,1
ET010704,Tigray,Mekelle,Hawelti Sub City,1
ET010701,Tigray,Mekelle,Kuiha Sub City,1
ET010706,Tigray,Mekelle,Qedamay Weyane Sub City,1
ET010707,Tigray,Mekelle,Semen Sub City,1
ET010111,Tigray,North Western,Adi Daero,1
ET010105,Tigray,North Western,Asgede,1
ET010114,Tigray,North Western,Endabaguna town,1
ET010109,Tigray,North Western,Laelay Koraro,1
ET010112,Tigray,North Western,Maekel Adiyabo,1
ET010110,Tigray,North Western,Seyemti Adyabo,1
ET010107,Tigray,North Western,Sheraro town,1
ET010108,Tigray,North Western,Shire Endaslasie town,1
ET010101,Tigray,North Western,Tahtay Adiyabo,1
ET010104,Tigray,North Western,Tahtay Koraro,1
ET010113,Tigray,North Western,Tsimbla,1
ET010103,Tigray,North Western,Zana,1
ET010607,Tigray,South Eastern,Adigudom,1
ET010604,Tigray,South Eastern,Degua Temben,1
ET010602,Tigray,South Eastern,Enderta,1
ET010605,Tigray,South Eastern,Hagere Selam town,1
ET010603,Tigray,South Eastern,Hintalo,1
ET010601,Tigray,South Eastern,Saharti,1
ET010606,Tigray,South Eastern,Samre,1
ET010608,Tigray,South Eastern,Wajirat,1
ET010402,Tigray,Southern,Bora (TG),1
ET010404,Tigray,Southern,Emba Alaje,1
ET010405,Tigray,Southern,Endamehoni,1
ET010409,Tigray,Southern,Maichew town,1
ET010412,Tigray,Southern,Mekhoni town,1
ET010403,Tigray,Southern,Neqsege,1
ET010406,Tigray,Southern,Raya Azebo,1
ET010401,Tigray,Southern,Selewa,1
