woreda_name,environ_var_code,week_epidemiar,ref_value,ref_sd,ref_yrcount,ref_max,ref_uq,ref_median,ref_lq,ref_min
Choman Guduru,totprec,1,0.56354900,0.55295172,13,1.76802200,0.91351100,0.46560100,0.13089700,0.00000000
Choman Guduru,totprec,2,0.65758133,0.91577528,12,3.18187100,1.02595450,0.30282600,0.00000000,0.00000000
Choman Guduru,totprec,3,1.91486692,4.19824497,12,14.86203800,1.42810675,0.31184200,0.00000000,0.00000000
Choman Guduru,totprec,4,1.59067700,1.61415214,12,5.61585700,1.69795650,1.32103750,0.43056975,0.00000000
Choman Guduru,totprec,5,1.27894458,2.93967031,12,10.42488000,1.09018675,0.20663150,0.00001650,0.00000000
Choman Guduru,totprec,6,2.25637417,2.79099454,12,7.60419600,3.89710000,0.81801250,0.36173125,0.00000000
Choman Guduru,totprec,7,5.25094125,7.50455722,12,26.52019600,4.32593650,3.59805350,1.13657350,0.00401600
Choman Guduru,totprec,8,6.21131783,6.17003493,12,23.18867800,8.09666450,4.54887000,2.44743675,0.00000000
Choman Guduru,totprec,9,4.15982650,6.65496452,12,18.56489500,3.06920950,1.55810400,0.36071300,0.05162700
Choman Guduru,totprec,10,15.01151533,16.56061163,12,44.17418000,31.67806900,5.69687300,1.62837950,0.00000000
Choman Guduru,totprec,11,15.39743558,18.47972026,12,55.06186900,22.79228350,7.71916750,1.81978775,0.00000000
Choman Guduru,totprec,12,7.61016717,15.96831743,12,52.98468100,5.78261925,0.12339200,0.00000000,0.00000000
Choman Guduru,totprec,13,12.31276617,17.70150536,12,46.75683700,12.53999050,4.20179200,1.26284800,0.00000000
Choman Guduru,totprec,14,8.54152417,9.50126083,12,29.11912700,15.32346075,4.98385150,0.75705675,0.00000000
Choman Guduru,totprec,15,22.13476517,18.81987268,12,50.87179400,38.36610450,13.43817900,9.08787350,0.30559900
Choman Guduru,totprec,16,7.88339867,11.98872371,12,36.08565400,8.74665450,2.37470150,0.45913550,0.00000000
Choman Guduru,totprec,17,34.23960817,23.29975226,12,76.01577900,46.32493850,28.49633800,17.23209350,6.46245100
Choman Guduru,totprec,18,38.40867583,34.83432063,12,104.73420500,63.37872000,25.10204400,12.21800250,0.00000000
Choman Guduru,totprec,19,29.08046725,26.16372608,12,80.86278900,47.78355600,23.02195850,4.69161750,0.26462800
Choman Guduru,totprec,20,38.17147708,20.76553727,12,68.32651600,49.68527225,38.85923050,29.43407400,4.70818500
Choman Guduru,totprec,21,33.04925475,16.99550260,12,58.81574600,45.03153350,30.37713050,20.96942975,0.69525900
Choman Guduru,totprec,22,32.16063458,15.98879561,12,57.87333100,44.67099875,28.54066250,20.28121375,10.69432400
Choman Guduru,totprec,23,37.35756600,13.47308848,12,57.60650100,45.86057225,40.41171600,29.66989750,9.33923700
Choman Guduru,totprec,24,44.85986625,11.90136158,12,60.94967600,54.09733150,48.10705100,38.85960725,22.21088600
Choman Guduru,totprec,25,42.75946017,9.17709884,12,65.54279400,45.02462075,42.46274700,39.75150725,27.46949200
Choman Guduru,totprec,26,53.46674175,14.91872870,12,79.11040600,66.32945950,48.02076350,43.00013550,32.58859700
Choman Guduru,totprec,27,69.07181083,25.62705957,12,118.95258200,78.52871475,68.53074350,50.88247000,29.52888300
